table_name,column_name,data_type,is_nullable,column_default,ordinal_position,primary_key,index,index_column
appointment_drafts,id,uuid,NO,gen_random_uuid(),1,id,appointment_drafts_pkey,id
appointment_drafts,user_id,uuid,NO,null,2,null,null,null
appointment_drafts,client_id,uuid,YES,null,3,null,null,null
appointment_drafts,title,text,NO,null,4,null,null,null
appointment_drafts,start_at,timestamp with time zone,NO,null,5,null,null,null
appointment_drafts,end_at,timestamp with time zone,NO,null,6,null,null,null
appointment_drafts,meta,jsonb,YES,null,7,null,null,null
appointment_drafts,created_at,timestamp with time zone,NO,now(),8,null,null,null
appointment_drafts,service_id,uuid,YES,null,9,null,null,null
appointment_drafts,staff_id,uuid,YES,null,10,null,null,null
appointment_drafts,source,text,YES,'''ai''::text'::text,11,null,null,null
appointment_drafts,customer_name,text,YES,null,12,null,null,null
appointment_drafts,customer_phone,text,YES,null,13,null,null,null
appointments,id,uuid,NO,gen_random_uuid(),1,id,appointments_pkey,id
appointments,client_id,uuid,NO,null,2,null,idx_appointments_client_id,client_id
appointments,client_id,uuid,NO,null,2,null,idx_appt_client,client_id
appointments,title,text,YES,null,3,null,null,null
appointments,customer_name,text,YES,null,4,null,null,null
appointments,customer_phone,text,YES,null,5,null,null,null
appointments,start_at,timestamp with time zone,NO,null,6,null,idx_appt_start,start_at
appointments,end_at,timestamp with time zone,YES,null,7,null,null,null
appointments,source,text,YES,'ai'::text,8,null,null,null
appointments,status,text,YES,'booked'::text,9,null,null,null
appointments,notes,text,YES,null,10,null,null,null
appointments,created_at,timestamp with time zone,NO,now(),11,null,null,null
appointments,google_event_id,text,YES,null,12,null,idx_appt_google_event,google_event_id
appointments,google_event_id,text,YES,null,12,null,idx_appts_google_event,google_event_id
appointments,staff_id,uuid,YES,null,13,null,null,null
business_hours,id,uuid,NO,gen_random_uuid(),1,id,business_hours_pkey,id
business_hours,client_id,uuid,NO,null,2,null,business_hours_client_id_weekday_key,client_id
business_hours,weekday,integer,NO,null,3,null,business_hours_client_id_weekday_key,weekday
business_hours,open_min,integer,NO,null,4,null,null,null
business_hours,close_min,integer,NO,null,5,null,null,null
business_hours,is_closed,boolean,YES,false,6,null,null,null
calls,id,uuid,NO,gen_random_uuid(),1,id,calls_pkey,id
calls,client_id,uuid,YES,null,2,null,idx_calls_client,client_id
calls,client_id,uuid,YES,null,2,null,idx_calls_client_id,client_id
calls,direction,text,NO,'inbound'::text,3,null,null,null
calls,from_number,text,YES,null,4,null,null,null
calls,to_number,text,YES,null,5,null,null,null
